Total,het,aob,
571140,6.191047e-11,5.623519e-11,5.675286e-12,
576150,6.191047e-11,5.623519e-11,5.675286e-12,
581160,6.191047e-11,5.623519e-11,5.675286e-12,
586170,6.191047e-11,5.623519e-11,5.675286e-12,
591180,6.191047e-11,5.623519e-11,5.675286e-12,
596190,6.191047e-11,5.623519e-11,5.675286e-12,
601200,6.191047e-11,5.623519e-11,5.675286e-12,
606210,6.191047e-11,5.623519e-11,5.675286e-12,
611220,6.191047e-11,5.623519e-11,5.675286e-12,
616230,6.191047e-11,5.623519e-11,5.675286e-12,
621240,6.191047e-11,5.623519e-11,5.675286e-12,
626250,6.191047e-11,5.623519e-11,5.675286e-12,
631260,6.191047e-11,5.623519e-11,5.675286e-12,
636270,6.191047e-11,5.623519e-11,5.675286e-12,
641280,6.191047e-11,5.623519e-11,5.675286e-12,
646290,6.191047e-11,5.623519e-11,5.675286e-12,
651300,6.191047e-11,5.623519e-11,5.675286e-12,
656310,6.191047e-11,5.623519e-11,5.675286e-12,
661320,6.191047e-11,5.623519e-11,5.675286e-12,
666330,6.191047e-11,5.623519e-11,5.675286e-12,
671340,6.191047e-11,5.623519e-11,5.675286e-12,
676350,6.191047e-11,5.623519e-11,5.675286e-12,
681360,6.191047e-11,5.623519e-11,5.675286e-12,
686370,6.191047e-11,5.623519e-11,5.675286e-12,
691380,6.191047e-11,5.623519e-11,5.675286e-12,
696390,6.191047e-11,5.623519e-11,5.675286e-12,
701400,6.191047e-11,5.623519e-11,5.675286e-12,
706410,6.191047e-11,5.623519e-11,5.675286e-12,
711420,6.191047e-11,5.623519e-11,5.675286e-12,
716430,6.191047e-11,5.623519e-11,5.675286e-12,
721440,6.191047e-11,5.623519e-11,5.675286e-12,
726450,6.191047e-11,5.623519e-11,5.675286e-12,
731460,6.191047e-11,5.623519e-11,5.675286e-12,
736470,6.191047e-11,5.623519e-11,5.675286e-12,
741480,6.191047e-11,5.623519e-11,5.675286e-12,
746490,6.191047e-11,5.623519e-11,5.675286e-12,
