,x,y,z,scalar,1,1,1,0.5
0,	0.000002,	0.000002,	0.000002,	425.176887
1,	0.000006,	0.000002,	0.000002,	425.164551
2,	0.000010,	0.000002,	0.000002,	425.139867
3,	0.000014,	0.000002,	0.000002,	425.102783
4,	0.000018,	0.000002,	0.000002,	425.053155
5,	0.000022,	0.000002,	0.000002,	424.990675
6,	0.000026,	0.000002,	0.000002,	424.914803
7,	0.000030,	0.000002,	0.000002,	424.824772
8,	0.000034,	0.000002,	0.000002,	424.719850
9,	0.000038,	0.000002,	0.000002,	424.600306
10,	0.000042,	0.000002,	0.000002,	424.470140
11,	0.000046,	0.000002,	0.000002,	424.344016
12,	0.000050,	0.000002,	0.000002,	424.264652
13,	0.000054,	0.000002,	0.000002,	424.344016
14,	0.000058,	0.000002,	0.000002,	424.470140
15,	0.000062,	0.000002,	0.000002,	424.600306
16,	0.000066,	0.000002,	0.000002,	424.719850
17,	0.000070,	0.000002,	0.000002,	424.824772
18,	0.000074,	0.000002,	0.000002,	424.914803
19,	0.000078,	0.000002,	0.000002,	424.990675
20,	0.000082,	0.000002,	0.000002,	425.053155
21,	0.000086,	0.000002,	0.000002,	425.102783
22,	0.000090,	0.000002,	0.000002,	425.139867
23,	0.000094,	0.000002,	0.000002,	425.164551
24,	0.000098,	0.000002,	0.000002,	425.176887
25,	0.000002,	0.000006,	0.000002,	425.167709
26,	0.000006,	0.000006,	0.000002,	425.154343
27,	0.000010,	0.000006,	0.000002,	425.127385
28,	0.000014,	0.000006,	0.000002,	425.086258
29,	0.000018,	0.000006,	0.000002,	425.029713
30,	0.000022,	0.000006,	0.000002,	424.955140
31,	0.000026,	0.000006,	0.000002,	424.857071
32,	0.000030,	0.000006,	0.000002,	424.723938
33,	0.000034,	0.000006,	0.000002,	424.531063
34,	0.000038,	0.000006,	0.000002,	424.226598
35,	0.000042,	0.000006,	0.000002,	423.710022
36,	0.000046,	0.000006,	0.000002,	422.837105
37,	0.000050,	0.000006,	0.000002,	421.677665
38,	0.000054,	0.000006,	0.000002,	422.837105
39,	0.000058,	0.000006,	0.000002,	423.710022
40,	0.000062,	0.000006,	0.000002,	424.226598
41,	0.000066,	0.000006,	0.000002,	424.531063
42,	0.000070,	0.000006,	0.000002,	424.723938
43,	0.000074,	0.000006,	0.000002,	424.857071
44,	0.000078,	0.000006,	0.000002,	424.955140
45,	0.000082,	0.000006,	0.000002,	425.029713
46,	0.000086,	0.000006,	0.000002,	425.086258
47,	0.000090,	0.000006,	0.000002,	425.127385
48,	0.000094,	0.000006,	0.000002,	425.154343
49,	0.000098,	0.000006,	0.000002,	425.167709
50,	0.000002,	0.000010,	0.000002,	425.159452
51,	0.000006,	0.000010,	0.000002,	425.145274
52,	0.000010,	0.000010,	0.000002,	425.116571
53,	0.000014,	0.000010,	0.000002,	425.072483
54,	0.000018,	0.000010,	0.000002,	425.011201
55,	0.000022,	0.000010,	0.000002,	424.929010
56,	0.000026,	0.000010,	0.000002,	424.818147
57,	0.000030,	0.000010,	0.000002,	424.661807
58,	0.000034,	0.000010,	0.000002,	424.421945
59,	0.000038,	0.000010,	0.000002,	424.007570
60,	0.000042,	0.000010,	0.000002,	423.189255
