Total,	hetr,	hety,	
3600,	1.173275e-11,	5.862413e-12,	5.870336e-12,	
Total,	hetr,	hety,	
3600,	1.173146e-11,	5.861298e-12,	5.870161e-12,	
7200,	1.178264e-11,	5.883072e-12,	5.899563e-12,	
10800,	1.183018e-11,	5.903149e-12,	5.927035e-12,	
