aob	eps	comm	
1.535727e-16	1.391233e-16	1.505558e-16	
1.537003e-16	1.391744e-16	1.506690e-16	
1.538511e-16	1.473154e-16	1.507815e-16	
1.539789e-16	1.473657e-16	1.508949e-16	
1.541300e-16	1.473510e-16	1.510076e-16	
1.542580e-16	1.474013e-16	1.511211e-16	
1.544094e-16	1.473866e-16	1.512339e-16	
1.545377e-16	1.474370e-16	1.513477e-16	
1.546893e-16	1.474222e-16	1.514607e-16	
1.548178e-16	1.474727e-16	1.515745e-16	
1.549697e-16	1.474579e-16	1.516877e-16	
1.550984e-16	1.475084e-16	1.518018e-16	
1.552506e-16	1.474936e-16	1.519151e-16	
1.553796e-16	1.475442e-16	1.520293e-16	
1.555320e-16	1.475294e-16	1.521428e-16	
1.556612e-16	1.475800e-16	1.522572e-16	
1.558139e-16	1.475652e-16	1.523709e-16	
1.559433e-16	1.476158e-16	1.524855e-16	
1.560963e-16	1.476011e-16	1.525993e-16	
1.562260e-16	1.476517e-16	1.527140e-16	
1.563793e-16	1.476370e-16	1.528281e-16	
1.565092e-16	1.476877e-16	1.529430e-16	
1.566627e-16	1.476729e-16	1.530572e-16	
1.567929e-16	1.477236e-16	1.531722e-16	
1.569467e-16	1.477088e-16	1.532866e-16	
1.570771e-16	1.477596e-16	1.534018e-16	
1.572312e-16	1.477449e-16	1.535164e-16	
1.573618e-16	1.477957e-16	1.536318e-16	
1.575161e-16	1.477809e-16	1.537465e-16	
1.576470e-16	1.478318e-16	1.538621e-16	
1.578017e-16	1.478170e-16	1.539769e-16	
1.579328e-16	1.478679e-16	1.540927e-16	
1.580877e-16	1.478531e-16	1.542077e-16	
1.582190e-16	1.479041e-16	1.543237e-16	
1.583742e-16	1.478893e-16	1.544389e-16	
1.585058e-16	1.479403e-16	1.545550e-16	
1.586613e-16	1.479255e-16	1.546704e-16	
1.587931e-16	1.479766e-16	1.547867e-16	
1.589488e-16	1.479618e-16	1.549022e-16	
1.590809e-16	1.480129e-16	1.550187e-16	
1.592369e-16	1.479980e-16	1.551344e-16	
1.593692e-16	1.480492e-16	1.552510e-16	
1.595256e-16	1.480344e-16	1.553670e-16	
1.596581e-16	1.480856e-16	1.554838e-16	
1.598147e-16	1.480707e-16	1.555998e-16	
1.599475e-16	1.481220e-16	1.557168e-16	
1.601044e-16	1.481072e-16	1.558331e-16	
1.602374e-16	1.481584e-16	1.559502e-16	
1.603945e-16	1.481436e-16	1.560666e-16	
1.605278e-16	1.481949e-16	1.561840e-16	
1.606852e-16	1.513401e-16	1.563006e-16	
1.608187e-16	1.513912e-16	1.564181e-16	
1.609765e-16	1.513760e-16	1.565348e-16	
1.611102e-16	1.514271e-16	1.566525e-16	
1.612682e-16	1.514120e-16	1.567695e-16	
1.614022e-16	1.514631e-16	1.568873e-16	
1.615605e-16	1.514479e-16	1.570044e-16	
1.616947e-16	1.514991e-16	1.571224e-16	
1.618533e-16	1.514840e-16	1.572397e-16	
1.619878e-16	1.515352e-16	1.573579e-16	
1.621467e-16	1.515200e-16	1.574754e-16	
1.622814e-16	1.515713e-16	1.575938e-16	
1.624405e-16	1.515561e-16	1.577114e-16	
1.625755e-16	1.516074e-16	1.578300e-16	
1.627350e-16	1.515923e-16	1.579478e-16	
1.628701e-16	1.516436e-16	1.580666e-16	
1.630299e-16	1.559095e-16	1.581846e-16	
1.631653e-16	1.559605e-16	1.583035e-16	
1.633254e-16	1.559449e-16	1.584216e-16	
1.634610e-16	1.559959e-16	1.585407e-16	
1.636214e-16	1.559803e-16	1.586591e-16	
1.637573e-16	1.560313e-16	1.587783e-16	
1.639179e-16	1.560157e-16	1.588969e-16	
1.640540e-16	1.560668e-16	1.590163e-16	
1.642150e-16	1.560512e-16	1.591350e-16	
1.643514e-16	1.561024e-16	1.592546e-16	
1.645126e-16	1.560867e-16	1.593735e-16	
1.646492e-16	1.561379e-16	1.594933e-16	
1.648107e-16	1.561223e-16	1.596124e-16	
1.649476e-16	1.561736e-16	1.597323e-16	
1.651094e-16	1.561579e-16	1.598516e-16	
1.652465e-16	1.562092e-16	1.599717e-16	
1.654086e-16	1.561936e-16	1.600911e-16	
1.655460e-16	1.562449e-16	1.602115e-16	
1.657084e-16	1.562293e-16	1.603311e-16	
1.658460e-16	1.562806e-16	1.604516e-16	
1.660087e-16	1.562650e-16	1.605714e-16	
1.661466e-16	1.563164e-16	1.606921e-16	
1.663096e-16	1.563008e-16	1.608120e-16	
1.664477e-16	1.563522e-16	1.609329e-16	
