het,aob,
265530,9497,931,
270540,9679,944,
275550,9860,953,
280560,10048,964,
285570,10234,976,
290580,10427,984,
295590,10607,995,
300600,10790,1007,
305610,10945,1018,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,357,200,
30060,400,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,359,200,
30060,400,200,
35070,442,200,
40080,584,200,
45090,732,200,
50100,824,200,
55110,966,205,
60120,1194,232,
65130,1431,264,
70140,1620,294,
75150,1813,317,
80160,2060,347,
85170,2348,370,
90180,2602,390,
95190,2833,400,
100200,3045,400,
105210,3270,400,
110220,3471,402,
115230,3696,405,
120240,3911,413,
125250,4141,423,
130260,4346,447,
135270,4563,474,
140280,4773,497,
145290,4980,521,
150300,5195,546,
155310,5400,567,
160320,5585,585,
165330,5758,614,
170340,5941,640,
175350,6113,659,
180360,6319,684,
185370,6492,703,
190380,6695,717,
195390,6875,729,
200400,7049,739,
205410,7235,751,
210420,7406,771,
215430,7613,780,
220440,7827,796,
225450,8012,812,
230460,8196,826,
235470,8388,838,
240480,8567,858,
245490,8730,873,
250500,8916,883,
255510,9106,891,
260520,9293,906,
265530,9478,916,
270540,9661,928,
275550,9862,939,
280560,10024,951,
285570,10194,966,
290580,10391,980,
295590,10566,990,
300600,10566,990,
305610,10566,990,
310620,10566,990,
315630,10566,990,
320640,10566,990,
325650,10566,990,
330660,10566,990,
335670,10566,990,
340680,10566,990,
345690,10566,990,
350700,10566,990,
355710,10566,990,
360720,10566,990,
365730,10566,990,
370740,10566,990,
375750,10566,990,
380760,10566,990,
385770,10566,990,
390780,10566,990,
395790,10566,990,
400800,10566,990,
405810,10566,990,
410820,10566,990,
415830,10566,990,
420840,10566,990,
425850,10566,990,
430860,10566,990,
435870,10566,990,
440880,10566,990,
445890,10566,990,
450900,10566,990,
455910,10566,990,
460920,10566,990,
465930,10566,990,
470940,10566,990,
475950,10566,990,
480960,10566,990,
485970,10566,990,
490980,10566,990,
495990,10566,990,
501000,10566,990,
506010,10566,990,
511020,10566,990,
516030,10566,990,
521040,10566,990,
526050,10566,990,
531060,10566,990,
536070,10566,990,
541080,10566,990,
546090,10566,990,
551100,10566,990,
556110,10566,990,
561120,10566,990,
566130,10566,990,
571140,10566,990,
576150,10566,990,
581160,10566,990,
586170,10566,990,
591180,10566,990,
596190,10566,990,
601200,10566,990,
606210,10566,990,
611220,10566,990,
616230,10566,990,
621240,10566,990,
626250,10566,990,
631260,10566,990,
636270,10566,990,
641280,10566,990,
646290,10566,990,
651300,10566,990,
656310,10566,990,
661320,10566,990,
666330,10566,990,
671340,10566,990,
676350,10566,990,
681360,10566,990,
686370,10566,990,
691380,10566,990,
696390,10566,990,
701400,10566,990,
706410,10566,990,
711420,10566,990,
716430,10566,990,
721440,10566,990,
726450,10566,990,
731460,10566,990,
736470,10566,990,
741480,10566,990,
746490,10566,990,
751500,10566,990,
756510,10566,990,
761520,10566,990,
766530,10566,990,
771540,10566,990,
776550,10566,990,
781560,10566,990,
786570,10566,990,
791580,10566,990,
796590,10566,990,
801600,10566,990,
806610,10566,990,
811620,10566,990,
816630,10566,990,
821640,10566,990,
826650,10566,990,
831660,10566,990,
836670,10566,990,
841680,10566,990,
846690,10566,990,
851700,10566,990,
856710,10566,990,
861720,10566,990,
866730,10566,990,
871740,10566,990,
876750,10566,990,
881760,10566,990,
886770,10566,990,
891780,10566,990,
896790,10566,990,
het,aob,
5010,200,100,
10020,200,100,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,359,200,
30060,400,200,
35070,441,200,
40080,588,200,
45090,734,200,
50100,824,200,
55110,964,205,
60120,1198,231,
65130,1430,264,
70140,1620,294,
75150,1813,318,
80160,2059,347,
85170,2325,371,
90180,2591,389,
95190,2824,400,
100200,3029,400,
105210,3253,400,
110220,3457,402,
115230,3670,405,
120240,3885,415,
125250,4083,428,
130260,4299,443,
135270,4506,471,
140280,4718,491,
145290,4914,512,
150300,5116,536,
155310,5314,570,
160320,5506,596,
165330,5688,624,
170340,5883,649,
175350,6071,670,
180360,6258,682,
185370,6436,700,
190380,6640,712,
195390,6828,722,
200400,7007,733,
205410,7199,745,
210420,7388,762,
215430,7569,775,
220440,7762,791,
225450,7961,806,
230460,8162,816,
235470,8326,830,
240480,8511,842,
245490,8692,851,
250500,8884,863,
255510,9072,872,
260520,9261,892,
265530,9442,907,
270540,9620,921,
275550,9819,932,
280560,10007,953,
285570,10196,962,
290580,10384,971,
295590,10570,985,
300600,10765,996,
305610,10933,1008,
310620,11111,1020,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,359,200,
30060,400,200,
35070,443,200,
40080,586,200,
45090,736,200,
50100,827,200,
55110,965,206,
60120,1209,235,
65130,1434,265,
70140,1628,298,
75150,1831,321,
80160,2078,350,
85170,2378,374,
90180,2637,389,
95190,2887,400,
100200,3104,400,
105210,3312,400,
110220,3500,402,
115230,3713,412,
120240,3965,421,
125250,4197,436,
130260,4440,453,
135270,4627,478,
140280,4850,501,
145290,5038,526,
150300,5237,563,
155310,5448,586,
160320,5640,614,
165330,5851,639,
170340,6031,658,
175350,6223,668,
180360,6414,689,
185370,6620,709,
190380,6819,726,
195390,7009,736,
200400,7185,747,
205410,7379,759,
210420,7574,774,
215430,7751,791,
220440,7952,807,
225450,8183,819,
230460,8352,835,
235470,8543,848,
240480,8747,859,
245490,8957,871,
250500,9173,888,
255510,9340,905,
260520,9519,922,
265530,9699,938,
270540,9883,943,
275550,10093,952,
280560,10280,961,
285570,10479,970,
290580,10688,987,
295590,10869,999,
300600,11091,1013,
305610,11284,1033,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,264,200,
25050,359,200,
30060,400,200,
35070,443,200,
40080,583,200,
45090,736,200,
50100,828,200,
55110,965,207,
60120,1206,236,
65130,1444,266,
70140,1639,299,
75150,1842,321,
80160,2084,353,
85170,2379,373,
90180,2668,391,
95190,2898,400,
100200,3109,400,
105210,3322,400,
110220,3556,404,
115230,3786,409,
120240,4026,419,
125250,4256,436,
130260,4440,460,
135270,4659,478,
140280,4855,508,
145290,5072,533,
150300,5265,557,
155310,5507,582,
160320,5726,615,
165330,5910,638,
170340,6129,654,
175350,6315,672,
180360,6530,696,
185370,6751,712,
190380,6916,725,
195390,7094,742,
200400,7285,753,
205410,7488,764,
210420,7692,789,
215430,7885,800,
220440,8082,813,
225450,8287,826,
230460,8486,837,
235470,8683,852,
240480,8855,866,
245490,9056,877,
250500,9267,890,
255510,9464,903,
260520,9665,919,
265530,9856,936,
270540,10065,945,
275550,10231,952,
280560,10435,966,
285570,10652,973,
290580,10857,985,
295590,11053,1000,
300600,11231,1011,
305610,11412,1024,
