aob	nob	comm	
1.306227e-15	7.055238e-16	1.134923e-15	
2.893667e-15	9.190857e-16	2.332502e-15	
6.367432e-15	1.200009e-15	4.781942e-15	
1.396093e-14	1.943071e-15	9.771199e-15	
3.045747e-14	3.223207e-15	1.991079e-14	
6.610901e-14	5.397732e-15	4.044718e-14	
1.426269e-13	9.075455e-15	8.184992e-14	
3.051220e-13	1.523642e-14	1.647020e-13	
6.423931e-13	2.527145e-14	3.279745e-13	
1.271053e-12	3.990407e-14	6.341571e-13	
