sub,o2,nh4,no2,no3,
365730,4.887327e-06,1.000000e-05,1.776133e-06,1.000000e-07,1.000000e-07,
370740,4.819114e-06,1.000000e-05,1.772971e-06,1.000000e-07,1.000000e-07,
375750,4.997729e-06,1.000000e-05,1.773532e-06,1.000000e-07,1.000000e-07,
380760,5.158568e-06,1.000000e-05,1.788282e-06,1.000000e-07,1.000000e-07,
385770,5.040658e-06,1.000000e-05,1.797406e-06,1.000000e-07,1.000000e-07,
390780,4.985004e-06,1.000000e-05,1.801546e-06,1.000000e-07,1.000000e-07,
395790,4.930141e-06,1.000000e-05,1.801301e-06,1.000000e-07,1.000000e-07,
400800,4.876324e-06,1.000000e-05,1.797254e-06,1.000000e-07,1.000000e-07,
405810,5.064730e-06,1.000000e-05,1.794995e-06,1.000000e-07,1.000000e-07,
410820,5.239793e-06,1.000000e-05,1.804708e-06,1.000000e-07,1.000000e-07,
415830,5.127774e-06,1.000000e-05,1.809388e-06,1.000000e-07,1.000000e-07,
420840,5.077063e-06,1.000000e-05,1.809688e-06,1.000000e-07,1.000000e-07,
425850,5.034706e-06,1.000000e-05,1.805597e-06,1.000000e-07,1.000000e-07,
430860,4.995417e-06,1.000000e-05,1.800398e-06,1.000000e-07,1.000000e-07,
435870,4.957810e-06,1.000000e-05,1.795169e-06,1.000000e-07,1.000000e-07,
440880,4.920027e-06,1.000000e-05,1.789985e-06,1.000000e-07,1.000000e-07,
445890,4.882772e-06,1.000000e-05,1.783674e-06,1.000000e-07,1.000000e-07,
450900,4.843663e-06,1.000000e-05,1.776565e-06,1.000000e-07,1.000000e-07,
455910,4.799814e-06,1.000000e-05,1.771125e-06,1.000000e-07,1.000000e-07,
460920,4.760414e-06,1.000000e-05,1.766203e-06,1.000000e-07,1.000000e-07,
465930,4.727423e-06,1.000000e-05,1.761453e-06,1.000000e-07,1.000000e-07,
470940,5.164952e-06,1.000000e-05,1.791866e-06,1.000000e-07,1.000000e-07,
475950,5.100664e-06,1.000000e-05,1.823121e-06,1.000000e-07,1.000000e-07,
480960,5.041451e-06,1.000000e-05,1.836260e-06,1.000000e-07,1.000000e-07,
485970,5.018717e-06,1.000000e-05,1.838706e-06,1.000000e-07,1.000000e-07,
490980,5.000690e-06,1.000000e-05,1.837856e-06,1.000000e-07,1.000000e-07,
495990,4.985479e-06,1.000000e-05,1.835843e-06,1.000000e-07,1.000000e-07,
501000,4.973465e-06,1.000000e-05,1.833425e-06,1.000000e-07,1.000000e-07,
506010,4.962370e-06,1.000000e-05,1.830727e-06,1.000000e-07,1.000000e-07,
511020,4.949299e-06,1.000000e-05,1.827139e-06,1.000000e-07,1.000000e-07,
516030,4.937184e-06,1.000000e-05,1.823212e-06,1.000000e-07,1.000000e-07,
521040,4.925382e-06,1.000000e-05,1.818795e-06,1.000000e-07,1.000000e-07,
526050,4.917191e-06,1.000000e-05,1.814713e-06,1.000000e-07,1.000000e-07,
531060,4.909748e-06,1.000000e-05,1.810806e-06,1.000000e-07,1.000000e-07,
536070,4.900621e-06,1.000000e-05,1.808502e-06,1.000000e-07,1.000000e-07,
541080,4.890967e-06,1.000000e-05,1.807261e-06,1.000000e-07,1.000000e-07,
546090,4.883165e-06,1.000000e-05,1.806344e-06,1.000000e-07,1.000000e-07,
551100,4.878429e-06,1.000000e-05,1.805650e-06,1.000000e-07,1.000000e-07,
556110,4.872551e-06,1.000000e-05,1.805128e-06,1.000000e-07,1.000000e-07,
561120,4.869269e-06,1.000000e-05,1.804535e-06,1.000000e-07,1.000000e-07,
566130,4.864188e-06,1.000000e-05,1.804310e-06,1.000000e-07,1.000000e-07,
571140,4.860641e-06,1.000000e-05,1.804564e-06,1.000000e-07,1.000000e-07,
576150,4.857770e-06,1.000000e-05,1.804706e-06,1.000000e-07,1.000000e-07,
581160,4.854747e-06,1.000000e-05,1.804583e-06,1.000000e-07,1.000000e-07,
586170,4.852053e-06,1.000000e-05,1.804500e-06,1.000000e-07,1.000000e-07,
591180,4.847456e-06,1.000000e-05,1.804405e-06,1.000000e-07,1.000000e-07,
596190,4.846060e-06,1.000000e-05,1.804245e-06,1.000000e-07,1.000000e-07,
601200,4.842953e-06,1.000000e-05,1.804380e-06,1.000000e-07,1.000000e-07,
606210,4.840491e-06,1.000000e-05,1.804621e-06,1.000000e-07,1.000000e-07,
611220,4.838970e-06,1.000000e-05,1.804943e-06,1.000000e-07,1.000000e-07,
616230,4.835025e-06,1.000000e-05,1.805357e-06,1.000000e-07,1.000000e-07,
621240,4.832277e-06,1.000000e-05,1.805457e-06,1.000000e-07,1.000000e-07,
626250,4.828098e-06,1.000000e-05,1.805454e-06,1.000000e-07,1.000000e-07,
631260,4.823811e-06,1.000000e-05,1.805446e-06,1.000000e-07,1.000000e-07,
636270,4.822332e-06,1.000000e-05,1.805590e-06,1.000000e-07,1.000000e-07,
641280,4.818879e-06,1.000000e-05,1.805293e-06,1.000000e-07,1.000000e-07,
646290,4.817155e-06,1.000000e-05,1.805201e-06,1.000000e-07,1.000000e-07,
651300,4.814670e-06,1.000000e-05,1.805307e-06,1.000000e-07,1.000000e-07,
656310,4.814573e-06,1.000000e-05,1.805704e-06,1.000000e-07,1.000000e-07,
661320,4.812019e-06,1.000000e-05,1.806038e-06,1.000000e-07,1.000000e-07,
666330,4.809072e-06,1.000000e-05,1.806689e-06,1.000000e-07,1.000000e-07,
671340,4.808940e-06,1.000000e-05,1.806769e-06,1.000000e-07,1.000000e-07,
676350,4.807792e-06,1.000000e-05,1.806935e-06,1.000000e-07,1.000000e-07,
681360,4.806580e-06,1.000000e-05,1.807086e-06,1.000000e-07,1.000000e-07,
686370,4.805134e-06,1.000000e-05,1.807492e-06,1.000000e-07,1.000000e-07,
691380,4.803840e-06,1.000000e-05,1.808007e-06,1.000000e-07,1.000000e-07,
696390,4.802057e-06,1.000000e-05,1.808457e-06,1.000000e-07,1.000000e-07,
701400,4.800895e-06,1.000000e-05,1.808458e-06,1.000000e-07,1.000000e-07,
706410,4.799305e-06,1.000000e-05,1.808672e-06,1.000000e-07,1.000000e-07,
711420,4.798583e-06,1.000000e-05,1.808751e-06,1.000000e-07,1.000000e-07,
716430,4.796912e-06,1.000000e-05,1.808733e-06,1.000000e-07,1.000000e-07,
721440,4.795972e-06,1.000000e-05,1.808775e-06,1.000000e-07,1.000000e-07,
726450,4.796019e-06,1.000000e-05,1.809152e-06,1.000000e-07,1.000000e-07,
731460,4.795461e-06,1.000000e-05,1.809217e-06,1.000000e-07,1.000000e-07,
736470,4.794391e-06,1.000000e-05,1.809708e-06,1.000000e-07,1.000000e-07,
741480,4.793395e-06,1.000000e-05,1.810332e-06,1.000000e-07,1.000000e-07,
746490,4.793501e-06,1.000000e-05,1.810559e-06,1.000000e-07,1.000000e-07,
751500,4.791495e-06,1.000000e-05,1.810510e-06,1.000000e-07,1.000000e-07,
756510,4.789033e-06,1.000000e-05,1.810428e-06,1.000000e-07,1.000000e-07,
761520,4.788287e-06,1.000000e-05,1.810334e-06,1.000000e-07,1.000000e-07,
766530,4.789584e-06,1.000000e-05,1.810214e-06,1.000000e-07,1.000000e-07,
771540,4.788971e-06,1.000000e-05,1.810196e-06,1.000000e-07,1.000000e-07,
776550,4.787713e-06,1.000000e-05,1.809911e-06,1.000000e-07,1.000000e-07,
781560,4.785195e-06,1.000000e-05,1.809417e-06,1.000000e-07,1.000000e-07,
786570,4.784364e-06,1.000000e-05,1.809210e-06,1.000000e-07,1.000000e-07,
791580,4.784127e-06,1.000000e-05,1.808669e-06,1.000000e-07,1.000000e-07,
796590,4.783268e-06,1.000000e-05,1.808753e-06,1.000000e-07,1.000000e-07,
801600,4.782351e-06,1.000000e-05,1.808693e-06,1.000000e-07,1.000000e-07,
806610,4.781842e-06,1.000000e-05,1.808710e-06,1.000000e-07,1.000000e-07,
811620,4.782071e-06,1.000000e-05,1.808662e-06,1.000000e-07,1.000000e-07,
816630,4.783035e-06,1.000000e-05,1.808982e-06,1.000000e-07,1.000000e-07,
821640,4.781990e-06,1.000000e-05,1.808739e-06,1.000000e-07,1.000000e-07,
826650,4.782646e-06,1.000000e-05,1.808952e-06,1.000000e-07,1.000000e-07,
sub,o2,nh4,no2,no3,
5010,2.850867e-05,1.000000e-05,4.766314e-06,1.000000e-07,1.000000e-07,
10020,2.764826e-05,1.000000e-05,4.255411e-06,1.000000e-07,1.000000e-07,
15030,2.688736e-05,1.000000e-05,3.951271e-06,1.000000e-07,1.000000e-07,
20040,2.610606e-05,1.000000e-05,3.741212e-06,1.000000e-07,1.000000e-07,
25050,2.523431e-05,1.000000e-05,3.574000e-06,1.000000e-07,1.000000e-07,
30060,2.422381e-05,1.000000e-05,3.423372e-06,1.000000e-07,1.000000e-07,
35070,2.303653e-05,1.000000e-05,3.277403e-06,1.000000e-07,1.000000e-07,
40080,2.164562e-05,1.000000e-05,3.136010e-06,1.000000e-07,1.000000e-07,
45090,2.002761e-05,1.000000e-05,2.995726e-06,1.000000e-07,1.000000e-07,
50100,1.816414e-05,1.000000e-05,2.852261e-06,1.000000e-07,1.000000e-07,
55110,1.608357e-05,1.000000e-05,2.712942e-06,1.000000e-07,1.000000e-07,
60120,1.386353e-05,1.000000e-05,2.578558e-06,1.000000e-07,1.000000e-07,
65130,1.161834e-05,1.000000e-05,2.444514e-06,1.000000e-07,1.000000e-07,
70140,9.610269e-06,1.000000e-05,2.316645e-06,1.000000e-07,1.000000e-07,
75150,8.048810e-06,1.000000e-05,2.194418e-06,1.000000e-07,1.000000e-07,
80160,7.112720e-06,1.000000e-05,2.085054e-06,1.000000e-07,1.000000e-07,
85170,6.473988e-06,1.000000e-05,1.979605e-06,1.000000e-07,1.000000e-07,
90180,5.923624e-06,1.000000e-05,1.878711e-06,1.000000e-07,1.000000e-07,
95190,5.663032e-06,1.000000e-05,1.791942e-06,1.000000e-07,1.000000e-07,
100200,5.504288e-06,1.000000e-05,1.712532e-06,1.000000e-07,1.000000e-07,
105210,5.367874e-06,1.000000e-05,1.643064e-06,1.000000e-07,1.000000e-07,
110220,5.216842e-06,1.000000e-05,1.580389e-06,1.000000e-07,1.000000e-07,
115230,5.170539e-06,1.000000e-05,1.528190e-06,1.000000e-07,1.000000e-07,
120240,5.047392e-06,1.000000e-05,1.479705e-06,1.000000e-07,1.000000e-07,
125250,4.885121e-06,1.000000e-05,1.432889e-06,1.000000e-07,1.000000e-07,
130260,4.996922e-06,1.000000e-05,1.401412e-06,1.000000e-07,1.000000e-07,
135270,4.903806e-06,1.000000e-05,1.370324e-06,1.000000e-07,1.000000e-07,
140280,4.810611e-06,1.000000e-05,1.341517e-06,1.000000e-07,1.000000e-07,
145290,4.952442e-06,1.000000e-05,1.331483e-06,1.000000e-07,1.000000e-07,
150300,4.652607e-06,1.000000e-05,1.296823e-06,1.000000e-07,1.000000e-07,
155310,4.846652e-06,1.000000e-05,1.292922e-06,1.000000e-07,1.000000e-07,
160320,4.769110e-06,1.000000e-05,1.284629e-06,1.000000e-07,1.000000e-07,
165330,4.837144e-06,1.000000e-05,1.278301e-06,1.000000e-07,1.000000e-07,
170340,4.876128e-06,1.000000e-05,1.280304e-06,1.000000e-07,1.000000e-07,
175350,4.577071e-06,1.000000e-05,1.255150e-06,1.000000e-07,1.000000e-07,
180360,5.150794e-06,1.000000e-05,1.299281e-06,1.000000e-07,1.000000e-07,
185370,4.819364e-06,1.000000e-05,1.293651e-06,1.000000e-07,1.000000e-07,
190380,4.869148e-06,1.000000e-05,1.282257e-06,1.000000e-07,1.000000e-07,
195390,4.910215e-06,1.000000e-05,1.292762e-06,1.000000e-07,1.000000e-07,
200400,4.585026e-06,1.000000e-05,1.278124e-06,1.000000e-07,1.000000e-07,
205410,4.803613e-06,1.000000e-05,1.284838e-06,1.000000e-07,1.000000e-07,
210420,4.733940e-06,1.000000e-05,1.297645e-06,1.000000e-07,1.000000e-07,
215430,4.802793e-06,1.000000e-05,1.300283e-06,1.000000e-07,1.000000e-07,
220440,4.804636e-06,1.000000e-05,1.305722e-06,1.000000e-07,1.000000e-07,
225450,4.587183e-06,1.000000e-05,1.309602e-06,1.000000e-07,1.000000e-07,
230460,4.781251e-06,1.000000e-05,1.320672e-06,1.000000e-07,1.000000e-07,
235470,4.770491e-06,1.000000e-05,1.336629e-06,1.000000e-07,1.000000e-07,
